pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
6969,Tamm-27,Finland,60.0,23.5,Outi Savolainen,,CS77341,Arabidopsis thaliana,,147
6970,Ts-1,Spain,41.7194,2.93056,Albert Kranz,,CS76615,Arabidopsis thaliana,,296
6971,Ts-5,Spain,41.7194,2.93056,Albert Kranz,,CS77388,Arabidopsis thaliana,,192
6972,Tsu-1,Japan,34.43,136.31,Eric Holub,,,Arabidopsis thaliana,,146
6973,Ull2-3,Sweden,56.0648,13.9707,Magnus Nordborg,,CS78817,Arabidopsis thaliana,,324
6974,Ull2-5,Sweden,56.0648,13.9707,Magnus Nordborg,,CS78818,Arabidopsis thaliana,,171
6975,Uod-1,Austria,48.3,14.45,Marcus Koch,,CS76621,Arabidopsis thaliana,,206
6976,Uod-7,Austria,48.3,14.45,Marcus Koch,,CS78823,Arabidopsis thaliana,,277
6977,Van-0,Canada,49.3,-123.0,Albert Kranz,,,Arabidopsis thaliana,,287
6978,Wa-1,Poland,52.3,21.0,Albert Kranz,,,Arabidopsis thaliana,,190
6979,Wei-0,SUI,47.25,8.26,Alan Slusarenko,,CS76628,Arabidopsis thaliana,,411
6980,Ws-0.1,Russia,52.3,30.0,Albert Kranz,,,Arabidopsis thaliana,,274
6981,Ws-2,Russia,52.3,30.0,Kenneth Feldmann,,CS78920,Arabidopsis thaliana,,234
6982,Wt-5,GER,52.3,9.3,Albert Kranz,,CS76632,Arabidopsis thaliana,,323
6983,Yo-0,US,37.45,-119.35,Albert Kranz,,,Arabidopsis thaliana,,262
6984,Zdr-1,Czech Republic,49.3853,16.2544,Jirina Relichov,,CS76635,Arabidopsis thaliana,,204
6985,Zdr-6,Czech Republic,49.3853,16.2544,Jirina Relichov,,,Arabidopsis thaliana,,316
6986,Abd-0,UK,57.1539,-2.2207,R. Mitchelson,,CS76429,Arabidopsis thaliana,,132
6987,Ak-1,GER,48.0683,7.62551,Albert Kranz,,CS76431,Arabidopsis thaliana,,207
6988,Alc-0,Spain,40.49,-3.36,Marta Roldan,,,Arabidopsis thaliana,,265
6989,Alst-1,UK,54.8,-2.4333,Maarten Koornneef,,CS76432,Arabidopsis thaliana,,251
6990,Amel-1,NED,53.448,5.73,Maarten Koornneef,,CS76434,Arabidopsis thaliana,,294
6991,Ange-1,France,47.4736,-0.5541,Maarten Koornneef,,,Arabidopsis thaliana,,0
6992,Ang-0,Belgium,50.3,5.3,Albert Kranz,,CS76436,Arabidopsis thaliana,,302
6993,Ang-1,Belgium,50.3,5.3,Albert Kranz,,,Arabidopsis thaliana,,0
6994,Ann-1,France,45.9,6.13028,Maarten Koornneef,,,Arabidopsis thaliana,,173
6996,An-2,Belgium,51.2167,4.4,Albert Kranz,,,Arabidopsis thaliana,,116
6997,Appt-1,NED,51.8333,5.5833,Maarten Koornneef,,CS76440,Arabidopsis thaliana,,137
6998,Arby-1,Sweden,59.43078,16.79994,Maarten Koornneef,,,Arabidopsis thaliana,,89
7000,Aa-0,GER,50.9167,9.57073,Albert Kranz,,CS76428,Arabidopsis thaliana,,349
7001,Aur-0,US,45.2296,-122.756,James Altland,,,Arabidopsis thaliana,,0
7002,Baa-1,NED,51.3333,6.1,Maarten Koornneef,,CS76442,Arabidopsis thaliana,,305
7003,Bs-1,SUI,47.5,7.5,Albert Kranz,,CS78888,Arabidopsis thaliana,,137
7004,Bs-2,SUI,47.5,7.5,Albert Kranz,,,Arabidopsis thaliana,,164
7005,Bs-5,SUI,47.5,7.5,Albert Kranz,,,Arabidopsis thaliana,,27
7008,Benk-1,NED,52.0,5.675,Maarten Koornneef,,CS76447,Arabidopsis thaliana,,289
7009,Benk-2,NED,52.0,5.675,Maarten Koornneef,,,Arabidopsis thaliana,,0
7010,Be-0,GER,49.6803,8.6161,Albert Kranz,,,Arabidopsis thaliana,,7
7011,Be-1,GER,49.6803,8.6161,Albert Kranz,,,Arabidopsis thaliana,,115
7012,Berkeley,US,37.8695,-122.271,Angus Murphy,,,Arabidopsis thaliana,,0
7013,Bd-0,GER,52.4584,13.287,Albert Kranz,,CS76445,Arabidopsis thaliana,,167
7014,Ba-1,UK,56.5459,-4.79821,Albert Kranz,,CS76441,Arabidopsis thaliana,,293
7015,Bla-1,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,177
7016,Bla-10,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,25
7017,Bla-11,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,26
7018,Bla-12,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,0
7019,Bla-14,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,0
7020,Bla-2,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,0
7021,Bla-3,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,27
7022,Bla-4,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,0
7023,Bla-5,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,0
7024,Bla-6,Spain,41.6833,2.8,Albert Kranz,,,Arabidopsis thaliana,,27
7025,Bl-1,Italy,44.5041,11.3396,Albert Kranz,,CS76450,Arabidopsis thaliana,,162
7026,Boot-1,UK,54.4,-3.2667,Maarten Koornneef,,CS76452,Arabidopsis thaliana,,328
7028,Bch-1,GER,49.5166,9.3166,Albert Kranz,,CS76444,Arabidopsis thaliana,,245
7029,Bch-3,GER,49.5166,9.3166,Albert Kranz,,,Arabidopsis thaliana,,27
7030,Bch-4,GER,49.5166,9.3166,Albert Kranz,,,Arabidopsis thaliana,,27
7031,Bsch-0,GER,50.0167,8.6667,Albert Kranz,,CS76457,Arabidopsis thaliana,,299
7032,Bsch-2,GER,50.0167,8.6667,Albert Kranz,,,Arabidopsis thaliana,,27
7033,Buckhorn Pass,US,41.3599,-122.755,Angus Murphy,,CS76733,Arabidopsis thaliana,,43
7034,Blh-1,Czech Republic,48.3,19.85,Albert Kranz,,,Arabidopsis thaliana,,67
7035,Blh-2,Czech Republic,48.0,19.0,Albert Kranz,,,Arabidopsis thaliana,,112
7036,Bu-0,GER,50.5,9.5,Albert Kranz,,CS78889,Arabidopsis thaliana,,136
7037,Bu-11,GER,50.5,9.5,Albert Kranz,,,Arabidopsis thaliana,,0
7038,Bu-13,GER,50.5,9.5,Albert Kranz,,,Arabidopsis thaliana,,0
